Name,Id,AnA,CanBeSpawned,Tag1,Tag2,SizeH,Prerequisite,StoryOnCreate,StoryOnUse,StoryOnPickUp,ActionAutoTriggerFunction,AutoTriggered,ActionOnGroundName,ActionOnGroundFunction,CanPickUp,ActionInBagName,ActionInBagFunction,Speed,Durability,RecoverHP,Attack,DemageToPlayer
stove,285,a ,,Furnitures,,80,,I created a STOVE.,I can cook now.,,AllowCook,1,,,,,,,,,,
oven,200,an ,,Furnitures,,80,,I created a OVEN.,I can cook now.,,AllowCook,1,,,,,,,,,,
microwave,182,a ,,Electrical,,40,,,Though it’s better to cook on an oven. Anyway.,,AllowCook,1,,,,,,,3,,,
mosquito,185,a ,,Insects,,10,,"Annoying mosquito, go away!","Fuck you, mosquito!",,AttackPlayer,1,,,,,,,,,,5
snake,265,a ,,Terrestrial Animals,,30,,Snakes are lethal.,It attacks you and you are dead. Game over.,,AttackPlayer,1,,,,,,,,,,100
bear,22,a ,,Terrestrial Animals,,150,,Bears are dangerous.,It attacks you and you are dead. Game over.,,AttackPlayer,1,,,,,,,,,,100
lion,171,a ,,Terrestrial Animals,,150,,Roar!,It attacks you and you are dead. Game over.,,AttackPlayer,1,,,,,,,,,,100
tiger,307,a ,,Terrestrial Animals,,150,,Roar!,It attacks you and you are dead. Game over.,,AttackPlayer,1,,,,,,,,,,100
rhinoceros,239,a ,,Terrestrial Animals,,150,,"Haha, a dumb rhino.",It attacks you and you are dead. Game over.,,AttackPlayer,1,,,,,,,,,,100
crocodile,83,a ,,Amphibians,,30,,A crocodile! Dangerous! ,The crocodile bits you and you are dead.,,AttackPlayer,1,,,,,,,,,,100
dragon,94,a ,,Birds,,200,,A dragon appears,The dragon attacks you and you are dead.,,AttackPlayer,1,,,,,,,,,,100
kangaroo,158,a ,,Terrestrial Animals,,150,,Is a kangaroo dangerous?,"You are dead. Game over. Never know kangaroos are lethal, hah?",,AttackPlayer,1,,,,,,,,,,100
scorpion,249,a ,,Insects,,10,,Scorpions are lethal.,You got bite and lost 20 HP.,,AttackPlayer,1,,,,,,,,,,40
flying saucer,121,a ,,Aviations,,300,,"Look! An UFO! Then you are captured by ALIENS. Sorry mate, game over.",AttackPlayer,,AttackPlayer,1,,,,,,,,,,100
angel,3,an ,,Birds,,80,,An angel come down from heaven,"You are blessed by the angel, keep going maybe you can find fortune.",,BlessPlayer,1,,,,,,,,,,
rain,235,a ,,Weather,,1,,It's raining now.,Do you have a umbralla?,,Cast,1,,,,,,,,,,
rainbow,236,a ,,Weather,,200,,A rainbow!,I think this is the only colorful thing in this game.,,Cast,1,,,,,,,,,,
hurricane,154,a ,,Weather,,300,,"Look, a hurricane! It's dangerous!","Inevitably, you die from the hurricane.",,Cast,1,,,,,,,,,,
tornado,314,a ,,Weather,,300,,"Look, a hurricane! It's dangerous!","Inevitably, you die from the hurricane.",,Cast,1,,,,,,,,,,
snowflake,267,a ,,Weather,,1,,Snowing.,"Snowing, nothing more.",,Cast,1,,,,,,,,,,
lightning,169,a ,,Weather,,300,,"A lighting hits a tree in the distance, it's scare.",You have 50% chance getting hit by lighting. Lucky you.,,Cast,1,,,,,,,,,,
star,279,a ,,Environmental,,10,,"A star fragment, maybe it can make a good jewelry.",Added one star in the sky.,,ChangeEnvironment,1,,,,,,,,,,
bush,47,a ,,Environmental,,30,,A beautiful bush grows on the ground.,ChangeEnvironment,,ChangeEnvironment,1,,,,,,,,,,
cloud,73,a ,,Environmental,,30,,A small cloud is floating above you.,ChangeEnvironment,,ChangeEnvironment,1,,,,,,,,,,
fire hydrant,112,a ,,Environmental,,50,,"Installed a fire hydrant on the ground. Nice, the fire fighters might need this someday.",ChangeEnvironment,,ChangeEnvironment,1,,,,,,,,,,
pond,225,a ,,Environmental,,30,,Wow!,"A pond, ok. Now let's install a diving board.",,CreateObstacle,1,,,,,,,,,,
pool,226,a ,,Environmental,,30,,Wow!,"A pool, ok. Now let's install a diving board.",,CreateObstacle,1,,,,,,,,,,
river,240,a ,,Environmental,Filtered,30,,Wow!,"Hmm, a river, I don't know what to do with it.",,CreateObstacle,1,,,,,,,,,,
traffic light,316,a ,,Environmental,,50,,A traffic light in the middle of nowhere.,"Red light, I shall not pass.",,CreateObstacle,1,,,,,,,,,,
fence,110,a ,,Environmental,,80,,A fence appears,This fence is blocking my way.,,CreateObstacle,1,,,,,,,,,,
stop sign,284,a ,,Environmental,,100,,A stop sign in the middle of nowhere.,This sign is blocking my way.,,CreateObstacle,1,,,,,,,,,,
parrot,209,a ,,Birds,,30,,Haha a dumb parrot.,"“You dumb! Asshole!” it replies, and then fly away.",,FlyAway,1,,,,,,30,,,,
bird,30,a ,,Birds,,10,,"Look, a bird!",Then it rapidly fly away.,,FlyAway,1,,,,,,30,,,,
owl,201,an ,,Birds,,30,,An owl appears.,Then it rapidly fly away.,,FlyAway,1,,,,,,30,,,,
flamingo,116,a ,,Birds,,60,,A flamingo appears.,Then it rapidly fly away.,,FlyAway,1,,,,,,40,,,,
swan,292,a ,,Birds,,60,,A swan!,Then it rapidly fly away.,,FlyAway,1,,,,,,30,,,,
